fecha,tmed,prec,tmin,tmax,sol
26-07-2023,"26,70","0,00","24,60","28,80","10,60"
27-07-2023,"28,20","0,00","25,50","30,80","10,00"
28-07-2023,"28,40","0,00","25,50","31,20","10,00"
29-07-2023,"28,30","0,00","25,00","31,60","12,80"
30-07-2023,"28,40","0,00","25,00","31,70","9,00"
31-07-2023,"29,00","0,00","26,40","31,70","9,20"
01-08-2023,"28,90","0,00","25,00","32,80","12,50"
02-08-2023,"30,40","0,00","25,20","35,60","12,80"
04-08-2023,"26,60","0,00","23,10","30,00","11,60"
05-08-2023,"25,70","0,00","20,00","31,40","13,00"
06-08-2023,"25,50","0,00","21,00","30,00","13,00"
07-08-2023,"26,10","0,00","22,20","30,00","10,50"
08-08-2023,"27,30","0,00","25,40","29,20","7,00"
09-08-2023,"26,60","0,00","23,20","30,00","10,20"
10-08-2023,"34,80","0,00","25,00","44,50","11,20"
11-08-2023,"28,40","0,00","26,00","30,80","9,80"
12-08-2023,"27,20","0,00","24,20","30,20","11,50"
13-08-2023,"28,10","0,00","25,20","31,00","9,70"
14-08-2023,"27,60","0,00","25,00","30,20","9,20"
15-08-2023,"28,00","0,00","25,20","30,80","8,40"
16-08-2023,"27,80","0,00","24,60","31,00","8,50"
17-08-2023,"27,80","0,00","24,20","31,40","11,60"
18-08-2023,"27,40","0,00","24,20","30,70","11,20"
19-08-2023,"27,70","0,00","23,80","31,60","12,00"
20-08-2023,"28,30","0,00","24,80","31,80","12,00"
21-08-2023,"29,40","0,00","24,80","34,00","12,30"
22-08-2023,"29,60","0,00","24,00","35,30","12,20"
23-08-2023,"30,50","0,00","24,20","36,80","12,20"
24-08-2023,"30,40","0,00","24,50","36,40","12,00"
25-08-2023,"29,00","0,00","24,60","33,40","11,50"
27-08-2023,"25,20","0,00","21,00","29,40","10,00"
28-08-2023,"26,90","0,00","19,80","34,00","11,80"
29-08-2023,"25,90","0,00","21,00","30,80","11,00"
30-08-2023,"24,40","0,00","20,40","28,40","10,80"
31-08-2023,"24,60","0,00","20,20","28,90","11,80"
01-09-2023,"25,60","0,00","22,10","29,20","9,50"
04-09-2023,"25,80","0,00","24,20","27,50","5,40"
05-09-2023,"26,70","0,00","24,30","29,10","9,00"
06-09-2023,"25,80","0,00","22,20","29,30","10,00"
